"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"02.10.2017","4.400,1","4.404,3","4.482,0","4.359,8","29,08K","-0,10%"
"03.10.2017","4.311,1","4.399,3","4.439,9","4.222,0","28,54K","-2,02%"
"04.10.2017","4.215,1","4.310,6","4.353,8","4.177,7","26,37K","-2,23%"
"05.10.2017","4.315,4","4.215,9","4.364,6","4.134,9","25,36K","2,38%"
"06.10.2017","4.371,0","4.312,6","4.424,5","4.294,0","25,94K","1,29%"
"07.10.2017","4.436,0","4.370,0","4.477,1","4.316,1","17,41K","1,49%"
"08.10.2017","4.613,1","4.435,9","4.630,0","4.417,6","29,86K","3,99%"
"09.10.2017","4.782,3","4.612,4","4.874,9","4.551,3","48,93K","3,67%"
"10.10.2017","4.777,0","4.782,3","4.940,0","4.717,5","42,68K","-0,11%"
"11.10.2017","4.824,9","4.777,7","4.879,5","4.715,0","28,92K","1,00%"
"12.10.2017","5.428,5","4.824,9","5.437,6","4.815,1","79,26K","12,51%"
"13.10.2017","5.636,8","5.440,0","5.874,3","5.376,0","99,15K","3,84%"
"14.10.2017","5.835,0","5.636,8","5.854,3","5.567,3","36,81K","3,52%"
"15.10.2017","5.698,6","5.838,7","5.876,9","5.450,0","57,34K","-2,34%"
"16.10.2017","5.764,4","5.712,2","5.803,2","5.570,4","31,41K","1,15%"
"17.10.2017","5.597,1","5.764,8","5.779,0","5.511,0","31,91K","-2,90%"
"18.10.2017","5.565,0","5.597,7","5.597,9","5.114,3","69,04K","-0,57%"
"19.10.2017","5.694,0","5.574,8","5.741,0","5.505,8","38,04K","2,32%"
"20.10.2017","5.984,5","5.694,0","6.082,2","5.606,4","61,78K","5,10%"
"21.10.2017","6.005,1","5.984,9","6.190,0","5.873,6","53,52K","0,34%"
"22.10.2017","5.980,5","6.005,1","6.069,6","5.717,9","50,58K","-0,41%"
"23.10.2017","5.906,9","5.980,5","6.051,0","5.639,8","67,06K","-1,23%"
"24.10.2017","5.509,5","5.902,5","5.902,5","5.457,5","64,03K","-6,73%"
"25.10.2017","5.720,0","5.509,9","5.743,9","5.367,9","44,80K","3,82%"
"26.10.2017","5.890,0","5.724,2","5.966,6","5.680,5","42,72K","2,97%"
"27.10.2017","5.759,6","5.890,0","6.010,2","5.681,2","39,71K","-2,21%"
"28.10.2017","5.720,6","5.759,8","5.863,9","5.634,7","26,66K","-0,68%"
"29.10.2017","6.156,0","5.718,1","6.330,0","5.662,9","61,92K","7,61%"
"30.10.2017","6.125,3","6.146,0","6.237,2","6.010,0","33,26K","-0,50%"
"31.10.2017","6.458,3","6.129,9","6.472,1","6.082,7","38,76K","5,44%"
"01.11.2017","6.727,3","6.450,2","6.727,3","6.348,0","57,13K","4,17%"
"02.11.2017","7.019,9","6.735,0","7.315,1","6.724,5","97,45K","4,35%"
"03.11.2017","7.278,4","7.018,9","7.447,5","6.926,5","64,15K","3,68%"
"04.11.2017","7.369,0","7.104,0","7.521,1","6.936,5","48,62K","1,24%"
"05.11.2017","7.382,0","7.370,9","7.595,0","7.272,0","46,29K","0,18%"
"06.11.2017","6.955,0","7.355,1","7.429,5","6.915,1","63,27K","-5,78%"
"07.11.2017","7.103,3","6.959,6","7.214,4","6.959,0","37,54K","2,13%"
"08.11.2017","7.442,4","7.102,0","7.895,0","7.029,9","97,30K","4,77%"
"09.11.2017","7.126,2","7.447,0","7.447,0","7.017,6","50,14K","-4,25%"
"10.11.2017","6.542,2","7.123,3","7.313,1","6.405,2","88,43K","-8,20%"
"11.11.2017","6.300,7","6.541,2","6.788,0","6.166,0","72,84K","-3,69%"
"12.11.2017","5.822,1","6.282,4","6.465,0","5.426,0","172,69K","-7,60%"
"13.11.2017","6.474,6","5.806,5","6.680,0","5.786,1","110,44K","11,21%"
"14.11.2017","6.579,2","6.476,5","6.687,8","6.315,4","49,52K","1,62%"
"15.11.2017","7.278,3","6.589,9","7.310,2","6.589,9","71,61K","10,63%"
"16.11.2017","7.864,2","7.273,7","8.012,9","7.099,9","85,88K","8,05%"
"17.11.2017","7.677,9","7.865,0","8.029,8","7.511,1","75,95K","-2,37%"
"18.11.2017","7.773,3","7.674,1","7.867,0","7.419,5","40,70K","1,24%"
"19.11.2017","8.054,2","7.770,6","8.126,9","7.652,0","39,13K","3,61%"
"20.11.2017","8.245,1","8.052,8","8.310,2","7.943,4","38,28K","2,37%"
"21.11.2017","8.097,3","8.245,1","8.380,0","7.790,0","71,85K","-1,79%"
"22.11.2017","8.230,1","8.097,3","8.310,0","8.064,3","28,86K","1,64%"
"23.11.2017","7.977,1","8.230,0","8.267,6","7.977,1","32,10K","-3,07%"
"24.11.2017","8.191,6","7.977,0","8.350,7","7.873,0","42,85K","2,69%"
"25.11.2017","8.766,2","8.191,6","8.770,0","8.132,9","44,25K","7,01%"
"26.11.2017","9.316,0","8.791,0","9.495,0","8.769,2","67,57K","6,27%"
"27.11.2017","9.728,8","9.303,9","9.760,7","9.268,9","66,66K","4,43%"
"28.11.2017","9.898,0","9.727,1","9.977,8","9.608,3","47,11K","1,74%"
"29.11.2017","9.749,4","9.891,9","11.427,2","9.001,1","182,74K","-1,50%"
"30.11.2017","9.907,0","9.771,9","10.540,0","8.821,0","129,07K","1,62%"
"01.12.2017","10.869,0","9.907,0","10.949,0","9.370,1","84,14K","9,71%"
"02.12.2017","10.881,0","10.852,0","11.187,0","10.627,0","49,71K","0,11%"
"03.12.2017","11.157,0","10.880,0","11.842,0","10.299,0","93,06K","2,54%"
"04.12.2017","11.595,0","11.162,0","11.598,0","10.788,0","63,74K","3,93%"
"05.12.2017","11.595,0","11.611,0","11.949,0","11.414,0","48,94K","0,00%"
"06.12.2017","13.527,0","11.590,0","13.598,0","11.590,0","83,59K","16,66%"
"07.12.2017","16.601,0","13.500,0","16.639,0","13.154,0","141,26K","22,72%"
"08.12.2017","15.869,0","16.608,0","17.160,0","13.774,0","124,11K","-4,41%"
"09.12.2017","14.660,0","15.829,0","16.300,0","13.021,0","77,82K","-7,62%"
"10.12.2017","14.997,0","14.660,0","15.728,0","12.748,0","107,05K","2,30%"
"11.12.2017","16.754,0","14.937,0","17.443,0","14.937,0","78,09K","11,72%"
"12.12.2017","16.967,0","16.754,0","17.500,0","16.234,0","52,09K","1,27%"
"13.12.2017","16.181,0","17.010,0","17.288,0","15.674,0","62,88K","-4,63%"
"14.12.2017","16.383,0","16.122,0","16.999,0","15.870,0","45,72K","1,25%"
"15.12.2017","17.522,0","16.396,0","18.098,0","16.352,0","63,11K","6,95%"
"16.12.2017","19.187,0","17.569,5","19.548,0","17.098,0","48,27K","9,50%"
"17.12.2017","18.971,0","19.210,0","19.891,0","18.622,0","51,80K","-1,13%"
"18.12.2017","18.934,0","18.959,0","19.171,0","18.010,0","53,58K","-0,20%"
"19.12.2017","17.345,0","18.931,0","18.987,0","16.500,0","66,65K","-8,39%"
"20.12.2017","16.425,0","17.340,0","17.709,0","15.500,0","82,16K","-5,30%"
"21.12.2017","15.666,8","16.433,0","17.333,0","14.827,0","65,58K","-4,62%"
"22.12.2017","13.170,0","15.650,0","15.826,0","10.718,0","179,00K","-15,94%"
"23.12.2017","14.035,0","13.173,0","14.986,0","12.755,0","59,92K","6,57%"
"24.12.2017","13.476,0","14.036,0","14.047,0","11.601,2","72,38K","-3,98%"
"25.12.2017","13.623,0","13.517,0","14.278,0","12.678,0","45,61K","1,09%"
"26.12.2017","15.679,0","13.627,0","16.048,0","13.550,0","63,44K","15,09%"
"27.12.2017","15.374,0","15.680,0","16.494,0","14.463,0","54,99K","-1,95%"
"28.12.2017","14.315,0","15.374,0","15.467,0","13.232,0","72,89K","-6,89%"
"29.12.2017","14.317,0","14.323,0","15.105,0","13.847,0","48,01K","0,01%"
"30.12.2017","12.377,0","14.308,0","14.403,0","11.690,0","75,43K","-13,55%"
"31.12.2017","13.800,0","12.385,0","14.140,0","12.183,9","43,29K","11,50%"
"01.01.2018","13.354,0","13.794,0","13.893,0","12.787,0","29,54K","-3,23%"
"02.01.2018","14.709,8","13.448,0","15.300,0","12.810,0","56,18K","10,15%"
"03.01.2018","15.155,0","14.713,0","15.428,0","14.522,0","38,35K","3,03%"
"04.01.2018","15.160,0","15.150,0","15.390,0","14.064,0","46,47K","0,03%"
"05.01.2018","16.917,0","15.159,0","17.101,0","14.769,0","54,63K","11,59%"
"06.01.2018","17.161,0","16.911,0","17.252,0","16.251,0","29,61K","1,44%"
"07.01.2018","16.196,0","17.163,0","17.176,0","15.726,0","30,84K","-5,62%"
"08.01.2018","14.930,0","16.216,0","16.279,0","13.760,0","64,95K","-7,82%"
"09.01.2018","14.423,0","14.902,0","15.355,0","14.122,0","43,44K","-3,40%"
"10.01.2018","14.896,0","14.426,0","14.896,0","13.338,0","57,33K","3,28%"
"11.01.2018","13.266,0","14.895,0","14.949,8","12.639,0","71,70K","-10,94%"
"12.01.2018","13.783,0","13.248,0","14.095,0","12.778,0","37,42K","3,90%"
"13.01.2018","14.191,0","13.794,0","14.580,0","13.760,0","29,01K","2,96%"
"14.01.2018","13.558,0","14.190,0","14.391,0","12.874,3","35,60K","-4,46%"
"15.01.2018","13.575,0","13.558,0","14.350,0","13.307,0","33,46K","0,13%"
"16.01.2018","11.072,0","13.594,0","13.604,0","9.949,4","131,86K","-18,44%"
"17.01.2018","11.082,0","11.059,0","11.490,0","9.231,1","132,23K","0,09%"
"18.01.2018","11.045,0","11.101,0","11.881,0","10.515,0","85,24K","-0,33%"
"19.01.2018","11.476,0","11.036,0","11.879,0","10.649,0","48,55K","3,90%"
"20.01.2018","12.728,0","11.462,0","13.002,0","11.425,0","46,30K","10,91%"
"21.01.2018","11.514,0","12.732,0","12.732,0","11.020,0","53,62K","-9,54%"
"22.01.2018","10.771,0","11.519,0","11.886,0","10.009,0","66,35K","-6,45%"
"23.01.2018","10.819,0","10.770,0","11.383,0","9.901,1","63,85K","0,45%"
"24.01.2018","11.414,0","10.811,0","11.529,0","10.454,0","43,82K","5,50%"
"25.01.2018","11.146,0","11.402,0","11.723,0","10.857,0","34,44K","-2,35%"
"26.01.2018","11.070,0","11.144,0","11.647,0","10.298,0","56,75K","-0,68%"
"27.01.2018","11.461,0","11.068,0","11.683,0","10.822,0","34,40K","3,53%"
"28.01.2018","11.839,0","11.455,1","12.181,0","11.398,0","29,62K","3,30%"
"29.01.2018","11.212,0","11.836,0","11.957,0","11.074,0","25,65K","-5,30%"
"30.01.2018","10.175,0","11.215,0","11.250,0","9.864,9","61,28K","-9,25%"
"31.01.2018","10.284,0","10.170,0","10.411,0","9.761,0","43,23K","1,07%"
"01.02.2018","9.181,1","10.278,0","10.311,0","8.941,0","78,78K","-10,72%"
"02.02.2018","8.895,8","9.181,0","9.201,0","7.972,2","123,34K","-3,11%"
"03.02.2018","9.219,4","8.887,1","9.495,0","8.189,6","51,91K","3,64%"
"04.02.2018","8.200,0","9.225,1","9.403,3","7.840,0","74,42K","-11,06%"
"05.02.2018","6.949,9","8.185,2","8.378,0","6.658,8","131,29K","-15,25%"
"06.02.2018","7.673,8","6.946,6","7.860,0","6.000,0","192,76K","10,42%"
"07.02.2018","7.587,0","7.679,4","8.488,2","7.175,1","106,70K","-1,13%"
"08.02.2018","8.235,1","7.585,0","8.648,8","7.579,6","77,62K","8,54%"
"09.02.2018","8.683,2","8.240,0","8.748,0","7.734,7","63,03K","5,44%"
"10.02.2018","8.563,1","8.678,1","9.074,3","8.152,1","68,15K","-1,38%"
"11.02.2018","8.069,0","8.563,0","8.569,0","7.851,0","52,21K","-5,77%"
"12.02.2018","8.900,6","8.070,0","9.000,0","8.070,0","51,40K","10,31%"
"13.02.2018","8.515,9","8.902,9","8.952,8","8.339,7","39,51K","-4,32%"
"14.02.2018","9.455,4","8.515,9","9.488,0","8.512,6","50,36K","11,03%"
"15.02.2018","9.996,9","9.454,3","10.175,0","9.338,8","67,53K","5,73%"
"16.02.2018","10.162,0","9.996,0","10.270,0","9.674,9","43,89K","1,65%"
"17.02.2018","11.053,5","10.161,0","11.083,0","10.050,0","52,80K","8,77%"
"18.02.2018","10.372,0","11.062,0","11.250,0","10.122,0","69,83K","-6,17%"
"19.02.2018","11.173,0","10.398,0","11.250,0","10.308,0","50,74K","7,72%"
"20.02.2018","11.218,0","11.172,0","11.776,0","11.101,0","60,92K","0,40%"
"21.02.2018","10.455,0","11.216,0","11.239,0","10.200,0","76,96K","-6,80%"
"22.02.2018","9.830,0","10.453,2","10.912,0","9.740,0","71,23K","-5,98%"
"23.02.2018","10.145,0","9.826,5","10.395,0","9.583,9","59,07K","3,20%"
"24.02.2018","9.666,3","10.144,0","10.499,0","9.350,3","55,70K","-4,72%"
"25.02.2018","9.557,4","9.666,3","9.840,0","9.284,3","30,52K","-1,13%"
"26.02.2018","10.321,0","9.583,0","10.437,0","9.359,9","45,94K","7,99%"
"27.02.2018","10.569,0","10.320,0","10.880,0","10.133,0","39,72K","2,40%"
"28.02.2018","10.315,0","10.583,0","11.063,0","10.270,0","43,89K","-2,40%"
"01.03.2018","10.925,0","10.316,0","11.087,0","10.224,0","33,87K","5,91%"
"02.03.2018","11.025,0","10.908,0","11.189,0","10.766,0","28,86K","0,92%"
"03.03.2018","11.440,0","11.024,0","11.526,0","11.024,0","30,65K","3,76%"
"04.03.2018","11.501,0","11.454,0","11.544,0","11.061,0","28,07K","0,53%"
"05.03.2018","11.416,0","11.497,0","11.696,0","11.390,0","27,56K","-0,74%"
"06.03.2018","10.720,0","11.403,0","11.403,0","10.578,0","44,24K","-6,10%"
"07.03.2018","9.902,9","10.779,0","10.899,0","9.422,1","75,22K","-7,62%"
"08.03.2018","9.300,0","9.910,7","10.109,0","9.037,0","67,75K","-6,09%"
"09.03.2018","9.217,0","9.301,9","9.420,5","8.351,0","98,20K","-0,89%"
"10.03.2018","8.762,0","9.216,2","9.500,0","8.691,1","52,54K","-4,94%"
"11.03.2018","9.528,0","8.764,4","9.726,1","8.429,0","70,48K","8,74%"
"12.03.2018","9.121,0","9.528,0","9.894,7","8.776,8","67,58K","-4,27%"
"13.03.2018","9.135,0","9.130,2","9.479,0","8.827,7","61,54K","0,15%"
"14.03.2018","8.186,6","9.135,2","9.400,1","7.923,8","78,81K","-10,38%"
"15.03.2018","8.252,9","8.181,3","8.416,7","7.666,3","82,58K","0,81%"
"16.03.2018","8.251,0","8.250,1","8.602,7","7.903,2","56,34K","-0,02%"
"17.03.2018","7.851,0","8.250,0","8.350,1","7.729,5","48,97K","-4,85%"
"18.03.2018","8.200,2","7.832,0","8.285,6","7.240,0","88,92K","4,45%"
"19.03.2018","8.600,1","8.209,0","8.689,9","8.100,0","73,28K","4,88%"
"20.03.2018","8.899,7","8.600,2","9.025,0","8.309,6","54,28K","3,48%"
"21.03.2018","8.900,1","8.899,8","9.175,2","8.755,7","42,86K","0,00%"
"22.03.2018","8.706,4","8.888,6","9.088,0","8.453,1","54,42K","-2,18%"
"23.03.2018","8.908,0","8.703,8","8.910,0","8.272,8","44,91K","2,32%"
"24.03.2018","8.535,0","8.911,4","9.040,2","8.463,0","44,21K","-4,19%"
"25.03.2018","8.445,1","8.525,0","8.673,9","8.373,0","30,69K","-1,05%"
